case_id,customer_id,case_type,created_date,lookback_days,case_age_days,reviewed_txn_count,reviewed_amount,high_risk_txn_count,red_flag_count,primary_red_flag,case_risk_score,priority,disposition,sar_flag,customer_name,customer_type,country,kyc_risk,pep_flag,expected_monthly_volume,investigation_summary,sar_decision_reason
CASE0001,CUST10180,Unusual Volume Increase,2026-03-27,90,1,99,148832.22,4,2,Unusual Volume,60,Moderate,SAR Filed,1,Customer 0181,Individual,Turkey,Low,0,7827.87,Reviewed 99 transactions over a 90-day lookback. Observed unusual volume indicators and 4 high-risk transactions. Customer KYC risk is low with case risk score 60.,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.
CASE0002,CUST10882,Rapid Movement of Funds,2026-09-11,60,26,52,192781.88,2,4,Structuring,51,High,SAR Filed,1,Customer 0883,Individual,United States,Low,0,3655.06,Reviewed 52 transactions over a 60-day lookback. Observed structuring indicators and 2 high-risk transactions. Customer KYC risk is low with case risk score 51.,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.
CASE0003,CUST10453,Unusual Volume Increase,2026-09-10,60,42,97,55116.59,20,3,Activity Inconsistent with Profile,42,Low,Close - No Suspicion,0,Customer 0454,Individual,India,Low,0,14329.16,Reviewed 97 transactions over a 60-day lookback. Observed activity inconsistent with profile indicators and 20 high-risk transactions. Customer KYC risk is low with case risk score 42.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0004,CUST10251,Structuring / Cash Activity,2026-06-10,60,21,119,181072.68,8,3,Funnel Activity,50,Moderate,Escalate for Additional Review,0,Customer 0252,Individual,United States,Low,0,7674.87,Reviewed 119 transactions over a 60-day lookback. Observed funnel activity indicators and 8 high-risk transactions. Customer KYC risk is low with case risk score 50.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0005,CUST10433,Unusual Volume Increase,2026-04-21,30,4,51,80237.59,6,4,Rapid Movement,73,High,SAR Filed,1,Customer 0434,Individual,Mexico,Low,0,46136.8,Reviewed 51 transactions over a 30-day lookback. Observed rapid movement indicators and 6 high-risk transactions. Customer KYC risk is low with case risk score 73.,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.
CASE0006,CUST10261,High-Risk Wires,2026-04-30,90,4,81,507598.33,12,2,Funnel Activity,64,Moderate,Close - No Suspicion,0,Customer 0262,Individual,United Kingdom,Low,0,6528.16,Reviewed 81 transactions over a 90-day lookback. Observed funnel activity indicators and 12 high-risk transactions. Customer KYC risk is low with case risk score 64.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0007,CUST10676,P2P / Funnel Activity,2026-08-18,90,45,27,118813.51,4,2,Rapid Movement,46,Low,Close - No Suspicion,0,Customer 0677,Individual,United States,Low,0,3332.0,Reviewed 27 transactions over a 90-day lookback. Observed rapid movement indicators and 4 high-risk transactions. Customer KYC risk is low with case risk score 46.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0008,CUST10229,Unusual Volume Increase,2026-07-25,60,25,119,15355.69,21,3,Unusual Volume,51,Moderate,SAR Filed,1,Customer 0230,Individual,United States,Moderate,0,10478.39,Reviewed 119 transactions over a 60-day lookback. Observed unusual volume indicators and 21 high-risk transactions. Customer KYC risk is moderate with case risk score 51.,Activity showed multiple unexplained red flags inconsistent with expected customer behavior.
CASE0009,CUST10184,High-Risk Wires,2026-05-18,30,32,32,165466.63,4,3,High-Risk Jurisdiction,76,High,Escalate for Additional Review,0,Customer 0185,Business,Turkey,Moderate,0,27136.99,Reviewed 32 transactions over a 30-day lookback. Observed high-risk jurisdiction indicators and 4 high-risk transactions. Customer KYC risk is moderate with case risk score 76.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
CASE0010,CUST10822,P2P / Funnel Activity,2026-05-01,60,13,50,8038.45,7,5,Structuring,58,High,Escalate for Additional Review,0,Customer 0823,Individual,United Arab Emirates,Moderate,0,15398.32,Reviewed 50 transactions over a 60-day lookback. Observed structuring indicators and 7 high-risk transactions. Customer KYC risk is moderate with case risk score 58.,Reviewed activity was reasonably explained or insufficiently suspicious for SAR filing.
